Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,cell_type,tissue,agent,genotype
SRR7345458,Hi-C,300,153281577900,PRJNA430777,SAMN09427370,60097927780,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4218883,GSM3190939,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-15T06:16:00Z,1,GSM3190939,pachytene spermatocyte,SRP131117,,testes,,
SRR7345459,Hi-C,300,144993841200,PRJNA430777,SAMN09427370,57963259504,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4218883,GSM3190939,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-15T02:08:00Z,1,GSM3190939,pachytene spermatocyte,SRP131117,,testes,,
SRR7345460,Hi-C,300,104105827200,PRJNA430777,SAMN09427369,41064884194,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4218884,GSM3190940,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-15T02:22:00Z,1,GSM3190940,round spermatid,SRP131117,,testes,,
SRR7345461,Hi-C,300,144532309500,PRJNA430777,SAMN09427369,57978043942,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4218884,GSM3190940,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-15T02:43:00Z,1,GSM3190940,round spermatid,SRP131117,,testes,,
SRR7345462,Hi-C,300,52032780000,PRJNA430777,SAMN09427379,20064307227,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4218885,GSM3190941,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-14T23:40:00Z,1,GSM3190941,spermatogonia,SRP131117,,testes,,
SRR7345463,Hi-C,300,82384836000,PRJNA430777,SAMN09427379,32165612666,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4218885,GSM3190941,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-15T00:17:00Z,1,GSM3190941,spermatogonia,SRP131117,,testes,,
SRR7345464,Hi-C,300,105153716100,PRJNA430777,SAMN09427379,42032439007,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4218885,GSM3190941,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-15T02:42:00Z,1,GSM3190941,spermatogonia,SRP131117,,testes,,
SRR7345465,Hi-C,300,96048594600,PRJNA430777,SAMN09427378,38457334783,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4218886,GSM3190942,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-15T00:54:00Z,1,GSM3190942,spermatogonia,SRP131117,,testes,,
SRR7345467,Hi-C,300,77248140900,PRJNA430777,SAMN09427378,30490849456,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4218886,GSM3190942,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-14T23:59:00Z,1,GSM3190942,spermatogonia,SRP131117,,testes,,
SRR7349189,Hi-C,300,139604854200,PRJNA430777,SAMN08375237,56617518395,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3591080,GSM2940099,HiSeq X Ten,PAIRED,other,GENOMIC,Macaca mulatta,ILLUMINA,2019-02-12T00:00:00Z,2018-06-16T01:58:00Z,1,GSM2940099,fibroblast,SRP131117,fibroblast,,,
